"Start.station.number","starthour","freq.x","freq.y"
31011,9,256,560
31011,10,192,259
31011,11,275,272
31011,12,351,399
31011,13,338,382
31011,14,305,268
31011,15,507,246
31011,16,687,341
31011,17,785,443
31011,18,686,558
31011,19,419,382
31011,20,323,301
31011,21,153,190
31011,22,121,120
31011,23,64,62
31012,0,4,13
31012,1,7,3
31012,2,2,5
31012,3,1,NA
31012,5,5,6
31012,6,19,79
31012,7,80,273
31012,8,126,497
31012,9,164,354
31012,10,61,94
31012,11,72,54
31012,12,105,65
31012,13,90,80
31012,14,64,69
31012,15,146,68
31012,16,388,56
31012,17,485,86
31012,18,223,138
31012,19,96,78
31012,20,26,51
31012,21,28,32
31012,22,9,16
31012,23,9,14
31013,0,42,58
31013,1,33,22
31013,2,26,22
31013,3,20,3
31013,4,9,7
31013,5,10,8
31013,6,29,14
31013,7,77,48
31013,8,227,161
31013,9,187,214
31013,10,151,118
31013,11,165,134
31013,12,174,160
31013,13,141,136
31013,14,106,105
31013,15,99,120
31013,16,135,180
31013,17,176,310
31013,18,240,423
31013,19,143,293
31013,20,147,166
31013,21,94,133
31013,22,97,88
31013,23,46,78
31014,0,34,114
31014,1,29,97
31014,2,12,57
31014,3,4,48
31014,4,18,22
31014,5,56,50
31014,6,145,319
31014,7,692,1813
31014,8,1305,3466
31014,9,831,1466
31014,10,638,637
31014,11,666,730
31014,12,723,819
31014,13,735,925
31014,14,740,952
31014,15,867,901
31014,16,1456,1318
31014,17,2415,1987
31014,18,1734,1682
31014,19,829,1057
31014,20,446,819
31014,21,213,516
31014,22,146,397
31014,23,88,232
31015,0,40,49
31015,1,13,35
31015,2,4,22
31015,5,18,75
31015,6,94,200
31015,7,230,1127
31015,8,405,1294
31015,9,449,633
31015,10,312,307
31015,11,332,411
31015,12,408,450
31015,13,301,369
31015,14,293,413
31015,15,492,457
31015,16,591,573
31015,17,853,977
31015,18,696,835
31015,19,366,547
31015,20,194,384
31015,21,140,259
31015,22,110,198
31015,23,52,81
31016,0,27,58
31016,1,13,21
31016,2,10,11
31016,3,3,4
31016,4,7,4
31016,5,23,163
31016,6,100,130
31016,7,280,311
31016,8,680,788
31016,9,511,413
31016,10,328,233
31016,11,360,266
31016,12,303,406
31016,13,340,372
31016,14,298,256
31016,15,307,261
31016,16,425,348
31016,17,665,512
31016,18,491,479
31016,19,312,366
31016,20,202,253
31016,21,132,175
31016,22,75,107
31016,23,38,54
31017,0,42,29
31017,1,39,14
31017,2,13,3
31017,3,3,1
31017,4,5,1
31017,5,19,4
31017,6,49,48
31017,7,196,244
31017,8,260,669
31017,9,198,310
31017,10,175,135
31017,11,253,146
31017,12,297,175
31017,13,317,108
31017,14,246,98
31017,15,234,93
31017,16,475,122
31017,17,888,238
31017,18,702,222
31017,19,414,162
31017,20,309,106
31017,21,236,92
31017,22,153,68
31017,23,84,48
31018,0,15,22
31018,1,1,10
31018,2,2,7
31018,3,2,NA
31018,5,30,3
31018,6,80,16
31018,7,401,29
31018,8,360,88
31018,9,147,126
31018,10,142,49
31018,11,159,94
31018,12,173,90
31018,13,141,92
31018,14,107,85
31018,15,110,119
31018,16,115,147
31018,17,163,268
31018,18,178,270
31018,19,94,207
31018,20,78,134
31018,21,42,67
31018,22,49,42
31018,23,34,21
31019,0,46,8
31019,1,32,8
31019,2,20,2
31019,3,8,NA
31019,5,8,1
31019,6,20,7
31019,7,161,43
31019,8,153,78
31019,9,68,112
31019,10,81,151
31019,11,117,136
31019,12,177,170
31019,13,196,153
31019,14,167,148
31019,15,147,149
31019,16,270,189
31019,17,331,327
31019,18,407,309
31019,19,282,211
31019,20,285,152
31019,21,166,87
31019,22,103,43
31019,23,54,19
31020,0,54,28
31020,1,42,13
31020,2,24,8
31020,3,11,4
31020,4,4,2
31020,5,5,2
31020,6,96,9
31020,7,84,230
31020,8,228,139
31020,9,148,158
31020,10,126,157
31020,11,216,122
31020,12,307,128
31020,13,205,202
31020,14,173,125
31020,15,194,121
31020,16,421,148
31020,17,470,241
31020,18,379,227
31020,19,259,191
31020,20,210,107
31020,21,127,63
31020,22,70,25
31020,23,46,34
31021,0,35,4
31021,1,48,7
31021,2,8,1
31021,3,3,4
31021,4,3,3
31021,5,3,37
31021,6,71,56
31021,7,226,114
31021,8,290,120
31021,9,175,83
31021,10,150,128
31021,11,193,188
31021,12,273,196
31021,13,253,201
31021,14,227,151
31021,15,218,176
31021,16,275,215
31021,17,508,343
31021,18,461,343
31021,19,379,257
31021,20,290,168
31021,21,196,66
31021,22,122,24
31021,23,45,17
31022,0,66,21
31022,1,88,19
31022,2,34,5
31022,3,8,3
31022,4,3,NA
31022,5,51,2
31022,6,55,90
31022,7,359,152
31022,8,456,615
31022,9,286,245
31022,10,196,194
31022,11,285,269
31022,12,391,301
31022,13,316,313
31022,14,276,265
31022,15,309,227
31022,16,546,316
31022,17,867,482
31022,18,675,482
31022,19,533,385
31022,20,397,234
31022,21,292,130
31022,22,193,62
31022,23,96,35
31023,0,55,21
31023,1,56,15
31023,2,18,4
31023,3,1,2
31023,4,3,5
31023,5,4,4
31023,6,25,34
31023,7,240,80
31023,8,435,144
31023,9,220,186
31023,10,147,138
31023,11,174,200
31023,12,181,182
31023,13,217,188
31023,14,196,195
31023,15,158,212
31023,16,211,290
31023,17,329,547
31023,18,409,442
31023,19,331,314
31023,20,234,160
31023,21,163,99
31023,22,130,70
31023,23,101,61
31024,0,30,18
31024,1,14,24
31024,2,6,5
31024,3,4,3
31024,4,16,8
31024,5,49,14
31024,6,174,123
31024,7,233,564
31024,8,501,797
31024,9,518,629
31024,10,305,296
31024,11,275,224
31024,12,255,286
31024,13,304,235
31024,14,217,238
31024,15,352,195
31024,16,438,303
31024,17,842,623
31024,18,990,485
31024,19,413,239
31024,20,229,190
31024,21,223,124
31024,22,161,81
31024,23,120,53
31025,0,5,18
31025,1,3,5
31025,2,1,4
31025,4,1,5
31025,5,1,18
31025,6,69,30
31025,7,396,56
31025,8,261,56
31025,9,194,55
31025,10,166,108
31025,11,124,114
31025,12,178,155
31025,13,139,162
31025,14,158,159
31025,15,191,188
31025,16,210,278
31025,17,226,363
31025,18,281,409
31025,19,177,223
31025,20,195,159
31025,21,108,98
31025,22,53,72
31025,23,21,50
31026,0,39,13
31026,1,39,3
31026,2,23,3
31026,3,2,1
31026,4,2,1
31026,5,20,29
31026,6,39,127
31026,7,203,105
31026,8,244,173
31026,9,152,134
31026,10,120,103
31026,11,156,99
31026,12,159,127
31026,13,189,151
31026,14,142,110
31026,15,149,121
31026,16,270,204
31026,17,393,247
31026,18,381,262
31026,19,224,185
31026,20,160,109
31026,21,146,65
31026,22,122,31
31026,23,70,20
31027,0,10,41
31027,1,6,9
31027,2,1,18
31027,3,6,11
31027,4,2,3
31027,5,29,4
31027,6,41,21
31027,7,249,66
31027,8,372,123
31027,9,394,97
31027,10,138,140
31027,11,138,72
31027,12,151,93
31027,13,155,105
31027,14,131,112
31027,15,162,127
31027,16,140,130
31027,17,233,247
31027,18,211,229
31027,19,185,168
31027,20,92,150
31027,21,72,72
31027,22,45,90
31027,23,24,48
31028,0,9,8
31028,1,8,18
31028,2,1,4
31028,3,1,NA
31028,4,18,NA
31028,5,19,13
31028,6,53,43
31028,7,52,248
31028,8,248,188
31028,9,177,156
31028,10,116,91
31028,11,110,53
31028,12,109,58
31028,13,92,44
31028,14,97,49
31028,15,107,71
31028,16,179,78
31028,17,589,235
31028,18,348,120
31028,19,220,67
31028,20,98,54
31028,21,81,31
31028,22,82,28
31028,23,21,18
31029,0,10,29
31029,1,4,23
31029,2,5,13
31029,3,2,8
31029,4,5,4
31029,5,12,4
31029,6,85,8
31029,7,452,29
31029,8,1012,31
31029,9,373,57
31029,10,238,64
31029,11,188,118
31029,12,226,251
31029,13,244,185
31029,14,199,156
31029,15,142,187
31029,16,203,271
31029,17,244,538
31029,18,325,575
31029,19,214,423
31029,20,100,230
31029,21,44,149
31029,22,24,70
31029,23,17,40
31030,0,26,84
31030,1,5,65
31030,2,4,29
31030,4,10,5
31030,5,70,4
31030,6,233,33
31030,7,401,10
31030,8,929,26
31030,9,508,48
31030,10,214,59
31030,11,199,74
31030,12,229,92
31030,13,173,90
31030,14,233,105
31030,15,145,115
31030,16,182,166
31030,17,258,362
31030,18,259,352
31030,19,203,259
31030,20,106,259
31030,21,75,230
31030,22,68,210
31030,23,47,75
31031,0,14,42
31031,1,8,29
31031,2,2,9
31031,3,3,7
31031,4,20,1
31031,5,63,3
31031,6,177,5
31031,7,308,18
31031,8,480,38
31031,9,187,53
31031,10,248,66
31031,11,232,95
31031,12,220,107
31031,13,150,100
31031,14,171,112
31031,15,134,130
31031,16,169,202
31031,17,326,410
31031,18,377,478
31031,19,183,263
31031,20,128,184
31031,21,80,147
31031,22,38,110
31031,23,20,61
31032,0,2,6
31032,2,1,NA
31032,3,2,NA
31032,4,3,NA
31032,5,12,NA
31032,6,38,3
31032,7,125,12
31032,8,277,13
31032,9,131,15
31032,10,59,23
31032,11,39,28
31032,12,51,112
31032,13,91,44
31032,14,31,30
31032,15,31,49
31032,16,53,72
31032,17,62,149
31032,18,71,159
31032,19,55,93
31032,20,49,52
31032,21,20,30
31032,22,7,24
31032,23,5,17
31033,0,22,18
31033,1,12,7
31033,2,12,8
31033,3,6,2
31033,4,2,2
31033,5,101,5
31033,6,36,34
31033,7,120,162
31033,8,132,73
31033,9,131,83
31033,10,117,48
31033,11,91,71
31033,12,104,67
31033,13,109,71
31033,14,88,64
31033,15,105,62
31033,16,106,78
31033,17,144,130
31033,18,194,201
31033,19,155,122
31033,20,108,93
31033,21,70,57
31033,22,39,46
31033,23,53,24
31034,0,31,48
31034,1,27,32
31034,2,16,12
31034,3,14,8
31034,4,4,1
31034,5,4,3
31034,6,125,21
31034,7,513,160
31034,8,322,262
31034,9,257,351
31034,10,140,106
31034,11,148,107
31034,12,167,113
31034,13,156,104
31034,14,134,104
31034,15,116,115
31034,16,204,150
31034,17,417,345
31034,18,515,584
31034,19,299,408
31034,20,174,260
31034,21,97,155
31034,22,64,97
31034,23,46,97
31035,0,26,39
31035,1,14,14
31035,2,2,19
31035,3,1,4
31035,5,22,5
31035,6,84,8
31035,7,438,28
31035,8,527,58
31035,9,235,114
31035,10,133,50
31035,11,129,63
31035,12,141,67
31035,13,99,90
31035,14,98,98
31035,15,112,104
31035,16,120,167
31035,17,142,332
31035,18,233,431
31035,19,173,242
31035,20,113,144
31035,21,51,122
31035,22,31,109
31035,23,26,57
31036,0,3,26
31036,1,2,11
31036,4,2,2
31036,5,8,2
31036,6,69,12
31036,7,423,94
31036,8,415,22
31036,9,204,36
31036,10,109,45
31036,11,116,71
31036,12,95,64
31036,13,103,79
31036,14,89,91
31036,15,77,103
31036,16,107,182
31036,17,146,317
31036,18,196,350
31036,19,120,201
31036,20,55,142
31036,21,23,117
31036,22,10,64
31036,23,3,66
31037,0,74,16
31037,1,33,14
31037,2,22,11
31037,3,6,1
31037,4,2,5
31037,5,10,82
31037,6,42,135
31037,7,376,669
31037,8,478,1445
31037,9,477,740
31037,10,349,354
31037,11,326,328
31037,12,423,378
31037,13,379,365
31037,14,375,293
31037,15,587,376
31037,16,775,439
31037,17,1651,544
31037,18,1098,514
31037,19,561,309
31037,20,317,260
31037,21,293,141
31037,22,177,79
31037,23,114,51
31038,0,3,8
31038,1,7,5
31038,2,2,1
31038,3,2,1
31038,4,1,1
31038,5,2,3
31038,6,8,57
31038,7,103,150
31038,8,101,175
31038,9,77,198
31038,10,55,78
31038,11,115,109
31038,12,127,93
31038,13,95,90
31038,14,97,46
31038,15,132,53
31038,16,222,114
31038,17,313,116
31038,18,238,140
31038,19,133,84
31038,20,40,49
31038,21,39,37
31038,22,14,24
31038,23,5,16
31039,0,20,18
31039,1,8,14
31039,2,6,9
31039,3,5,3
31039,4,3,1
31039,5,15,41
31039,6,71,170
31039,7,484,316
31039,8,479,192
31039,9,186,202
31039,10,176,238
31039,11,268,202
31039,12,276,244
31039,13,285,234
31039,14,277,242
31039,15,254,286
31039,16,337,337
31039,17,490,335
31039,18,425,364
31039,19,324,275
31039,20,214,173
31039,21,128,147
31039,22,79,89
31039,23,43,52
31040,0,36,14
31040,1,36,7
31040,2,17,2
31040,3,15,1
31040,4,7,2
31040,5,5,3
31040,6,14,21
31040,7,69,19
31040,8,222,207
31040,9,217,152
31040,10,91,80
31040,11,108,104
31040,12,118,134
31040,13,146,135
31040,14,118,108
31040,15,168,124
31040,16,197,205
31040,17,304,384
31040,18,248,289
31040,19,215,166
31040,20,182,95
31040,21,146,47
31040,22,108,28
31040,23,43,21
31041,0,37,16
31041,1,45,12
31041,2,26,14
31041,3,3,4
31041,4,4,2
31041,5,4,3
31041,6,114,4
31041,7,98,23
31041,8,55,142
31041,9,74,259
31041,10,102,296
31041,11,153,294
31041,12,228,412
31041,13,310,487
31041,14,282,409
31041,15,301,345
31041,16,291,376
31041,17,252,422
31041,18,204,454
31041,19,145,314
31041,20,123,214
31041,21,94,103
31041,22,46,48
31041,23,56,49
31042,0,38,24
31042,1,27,15
31042,2,17,8
31042,3,3,3
31042,5,10,3
31042,6,30,22
31042,7,89,281
31042,8,110,995
31042,9,234,543
31042,10,165,244
31042,11,299,316
31042,12,423,428
31042,13,370,505
31042,14,381,401
31042,15,425,360
31042,16,572,360
31042,17,1025,422
31042,18,510,477
31042,19,329,392
31042,20,250,261
31042,21,148,108
31042,22,124,75
31042,23,58,34
31043,0,4,4
31043,1,1,5
31043,2,1,2
31043,3,1,1
31043,4,1,NA
31043,5,23,NA
31043,6,30,7
31043,7,109,119
31043,8,142,174
31043,9,127,112
31043,10,128,87
31043,11,187,144
31043,12,178,198
31043,13,182,179
31043,14,156,202
31043,15,127,219
31043,16,130,172
31043,17,213,308
31043,18,237,250
31043,19,166,212
31043,20,91,129
31043,21,21,39
31043,22,7,31
31043,23,11,32
31044,0,36,19
31044,1,16,10
31044,2,6,6
31044,4,1,NA
31044,5,6,5
31044,6,23,57
31044,7,82,54
31044,8,214,378
31044,9,112,362
31044,10,106,183
31044,11,123,172
31044,12,187,235
31044,13,170,225
31044,14,215,210
31044,15,221,202
31044,16,232,187
31044,17,341,234
31044,18,287,314
31044,19,178,212
31044,20,155,135
31044,21,155,95
31044,22,77,45
31044,23,61,35
31045,0,19,25
31045,1,16,10
31045,2,5,9
31045,3,2,5
31045,4,1,4
31045,5,31,2
31045,6,25,7
31045,7,89,51
31045,8,284,69
31045,9,170,85
31045,10,168,76
31045,11,154,110
31045,12,144,153
31045,13,123,152
31045,14,129,138
31045,15,104,157
31045,16,128,236
31045,17,224,211
31045,18,162,267
31045,19,111,152
31045,20,111,141
31045,21,58,105
31045,22,44,66
31045,23,28,40
31046,0,5,6
31046,4,2,NA
31046,5,4,3
31046,6,10,6
31046,7,87,10
31046,8,61,37
31046,9,98,45
31046,10,100,73
31046,11,123,82
31046,12,122,100
31046,13,119,114
31046,14,122,115
31046,15,93,92
31046,16,103,88
31046,17,107,164
31046,18,123,218
31046,19,133,150
31046,20,90,102
31046,21,31,50
31046,22,10,18
31046,23,7,13
31047,0,38,19
31047,1,6,7
31047,2,3,7
31047,3,4,3
31047,4,6,2
31047,5,46,49
31047,6,146,366
31047,7,469,987
31047,8,1252,1191
31047,9,627,681
31047,10,300,308
31047,11,288,340
31047,12,286,355
31047,13,306,253
31047,14,265,188
31047,15,354,261
31047,16,791,471
31047,17,1473,1146
31047,18,1476,870
31047,19,701,340
31047,20,427,180
31047,21,273,155
31047,22,207,80
31047,23,143,44
31048,0,35,7
31048,1,7,NA
31048,2,5,6
31048,3,2,2
31048,4,1,5
31048,5,12,46
31048,6,51,95
31048,7,160,177
31048,8,565,397
31048,9,347,311
31048,10,208,119
31048,11,150,79
31048,12,204,88
31048,13,213,95
31048,14,189,101
31048,15,231,116
31048,16,287,221
31048,17,679,374
31048,18,546,277
31048,19,254,183
31048,20,129,154
31048,21,148,96
31048,22,80,55
31048,23,67,21
31049,0,11,33
31049,1,6,18
31049,2,8,22
31049,3,5,16
31049,4,2,4
31049,5,57,15
31049,6,219,23
31049,7,158,138
31049,8,137,159
31049,9,132,61
31049,10,133,67
31049,11,151,73
31049,12,144,94
31049,13,134,86
31049,14,105,105
31049,15,107,88
31049,16,199,159
31049,17,346,177
31049,18,329,230
31049,19,177,239
31049,20,129,202
31049,21,94,115
31049,22,41,59
31049,23,27,40
31050,0,8,10
31050,1,9,9
31050,4,1,NA
31050,5,25,NA
31050,6,168,4
31050,7,359,11
31050,8,576,36
31050,9,178,31
31050,10,149,41
31050,11,116,92
31050,12,101,56
31050,13,89,77
31050,14,77,63
31050,15,61,141
31050,16,79,184
31050,17,148,256
31050,18,81,244
31050,19,68,154
31050,20,37,96
31050,21,21,79
31050,22,9,65
31050,23,8,34
31051,0,8,34
31051,1,6,11
31051,2,1,3
31051,3,2,9
31051,4,4,6
31051,5,83,2
31051,6,134,15
31051,7,540,48
31051,8,413,31
31051,9,132,31
31051,10,154,58
31051,11,121,79
31051,12,106,85
31051,13,110,119
31051,14,75,101
31051,15,73,218
31051,16,101,388
31051,17,111,582
31051,18,135,345
31051,19,71,211
31051,20,49,130
31051,21,36,93
31051,22,12,82
31051,23,2,54
31052,0,5,15
31052,1,4,3
31052,4,2,1
31052,5,12,4
31052,6,25,26
31052,7,47,77
31052,8,181,196
31052,9,231,159
31052,10,130,57
31052,11,94,58
31052,12,139,103
31052,13,75,99
31052,14,96,90
31052,15,87,150
31052,16,139,200
31052,17,214,232
31052,18,224,270
31052,19,135,227
31052,20,101,153
31052,21,39,63
31052,22,13,39
31052,23,12,24
31053,0,6,40
31053,1,7,25
31053,2,3,7
31053,3,22,4
31053,4,17,NA
31053,5,37,NA
31053,6,38,5
31053,7,254,21
31053,8,198,26
31053,9,141,25
31053,10,138,27
31053,11,136,60
31053,12,144,84
31053,13,86,79
31053,14,98,59
31053,15,75,91
31053,16,277,146
31053,17,114,194
31053,18,86,130
31053,19,75,100
31053,20,35,100
31053,21,14,149
31053,22,11,81
31053,23,5,55
31054,1,1,1
31054,3,2,3
31054,5,2,1
31054,6,34,2
31054,7,108,2
31054,8,67,2
31054,9,14,8
31054,10,15,15
31054,11,23,8
31054,12,28,6
31054,13,24,14
31054,14,20,15
31054,15,15,26
31054,16,26,131
31054,17,21,139
31054,18,20,62
31054,19,25,40
31054,20,21,51
31054,21,8,12
31054,22,2,17
31054,23,1,6
31055,0,2,19
31055,1,2,12
31055,2,1,5
31055,5,12,NA
31055,6,21,17
31055,7,91,10
31055,8,40,27
31055,9,39,56
31055,10,58,60
31055,11,67,58
31055,12,77,58
31055,13,106,54
31055,14,114,113
31055,15,86,121
31055,16,92,124
31055,17,104,179
31055,18,80,184
31055,19,112,125
31055,20,48,77
31055,21,29,44
31055,22,20,23
31055,23,4,15
31056,0,5,27
31056,1,4,11
31056,2,3,4
31056,3,3,6
31056,4,1,1
31056,5,33,NA
31056,6,51,2
31056,7,150,14
31056,8,159,9
31056,9,75,16
31056,10,63,18
31056,11,92,38
31056,12,75,39
31056,13,60,58
31056,14,71,58
31056,15,66,83
31056,16,61,91
31056,17,52,150
31056,18,69,209
31056,19,78,150
31056,20,48,80
31056,21,20,67
31056,22,11,57
31056,23,7,28
31057,1,1,1
31057,3,1,1
31057,5,4,2
31057,6,28,4
31057,7,68,54
31057,8,51,23
31057,9,44,31
31057,10,49,46
31057,11,54,53
31057,12,41,40
31057,13,43,43
31057,14,61,60
31057,15,88,99
31057,16,70,120
31057,17,100,127
31057,18,108,143
31057,19,91,143
31057,20,39,51
31057,21,16,25
31057,22,6,7
31057,23,4,8
31058,0,3,2
31058,2,1,NA
31058,4,2,1
31058,5,1,3
31058,6,1,2
31058,7,14,1
31058,8,36,5
31058,9,7,6
31058,10,16,6
31058,11,14,10
31058,12,22,15
31058,13,18,15
31058,14,20,23
31058,15,16,18
31058,16,19,20
31058,17,25,53
31058,18,30,39
31058,19,16,31
31058,20,10,13
31058,21,15,6
31058,22,6,18
31058,23,6,5
31059,4,1,NA
31059,5,2,1
31059,6,30,7
31059,7,148,63
31059,8,166,29
31059,9,45,42
31059,10,72,42
31059,11,76,54
31059,12,96,74
31059,13,68,72
31059,14,63,61
31059,15,114,125
31059,16,75,92
31059,17,103,200
31059,18,135,304
31059,19,80,246
31059,20,16,99
31059,21,16,51
31059,22,18,36
31059,23,3,21
31060,0,12,9
31060,1,4,4
31060,5,1,NA
31060,6,16,4
31060,7,35,18
31060,8,44,73
31060,9,81,113
31060,10,82,104
31060,11,141,119
31060,12,113,137
31060,13,122,166
31060,14,161,158
31060,15,202,222
31060,16,159,197
31060,17,166,251
31060,18,138,235
31060,19,147,214
31060,20,91,95
31060,21,57,41
31060,22,95,26
31060,23,35,22
31061,1,2,8
31061,5,1,2
31061,6,2,1
31061,7,9,2
31061,8,32,3
31061,9,26,14
31061,10,77,44
31061,11,26,44
31061,12,15,8
31061,13,13,13
31061,14,13,5
31061,15,26,17
31061,16,15,29
31061,17,22,35
31061,18,23,46
31061,19,17,39
31061,20,13,30
31061,21,3,23
31061,22,4,8
31061,23,2,5
31062,0,1,19
31062,1,1,7
31062,6,3,1
31062,8,12,15
31062,9,39,2
31062,10,9,10
31062,11,11,9
31062,12,12,9
31062,13,4,17
31062,14,16,14
31062,15,31,14
31062,16,9,8
31062,17,32,22
31062,18,20,27
31062,19,8,23
31062,20,13,24
31062,21,5,10
31062,22,4,59
31062,23,1,19
31063,0,5,13
31063,1,1,8
31063,2,2,3
31063,4,1,NA
31063,5,11,NA
31063,6,5,1
31063,7,30,5
31063,8,88,12
31063,9,56,21
31063,10,36,46
31063,11,60,48
31063,12,60,58
31063,13,66,38
31063,14,76,84
31063,15,60,87
31063,16,51,79
31063,17,72,118
31063,18,49,97
31063,19,53,102
31063,20,24,67
31063,21,10,38
31063,22,6,17
31063,23,1,9
31064,6,1,NA
31064,7,6,1
31064,8,26,8
31064,9,9,7
31064,10,12,5
31064,11,17,11
31064,12,23,7
31064,13,21,5
31064,14,10,17
31064,15,23,14
31064,16,26,15
31064,17,27,14
31064,18,20,41
31064,19,14,28
31064,20,16,14
31064,21,3,14
31064,23,2,4
31065,0,15,41
31065,1,5,16
31065,2,6,21
31065,3,2,1
31065,5,6,3
31065,6,79,14
31065,7,447,30
31065,8,549,21
31065,9,204,66
31065,10,156,35
31065,11,125,73
31065,12,140,104
31065,13,153,100
31065,14,112,84
31065,15,105,109
31065,16,113,218
31065,17,205,432
31065,18,254,458
31065,19,176,297
31065,20,104,162
31065,21,43,158
31065,22,49,66
31065,23,37,49
31066,0,3,10
31066,1,4,NA
31066,2,6,4
31066,3,4,7
31066,4,1,6
31066,5,2,2
31066,6,5,5
31066,7,157,32
31066,8,277,154
31066,9,183,54
31066,10,118,76
31066,11,127,84
31066,12,97,90
31066,13,105,97
31066,14,85,92
31066,15,57,72
31066,16,111,135
31066,17,232,309
31066,18,194,312
